ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX188482","","89173","18/11/2021 10:07 +11:00","Assigned",""
"PLX019222","c11c0e89-475a-4924-bdf6-c30589aa598c","90170","18/11/2021 10:08 +11:00","Assigned",""
"DME189760","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME190195","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME189549","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME190013","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME190189","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME189581","","","18/11/2021 10:08 +11:00","DriverPickupAcknowledge",""
"DME188116","","1037613","18/11/2021 10:08 +11:00","Assigned",""
"PLX189596","","393503651002107430, 393503651002096239, 393503651002107423, 393503651002107447","18/11/2021 10:09 +10:00","OnDelivery",""
"PLX189239","","393503651002102725, 393503651002102732","18/11/2021 10:09 +11:00","Assigned",""
