ConsignmentNumber,UniqueID,SenderReference,ScanDateTime,BarcodeValue,ScanType,ScanLocation,ScanDestLocation,ScanTag
"PLX189907","","393503651002110423, 393503651002110188, 393503651002110416","17/11/2021 18:03 +11:00","PLX1899070020033549","Depot In","SYDNEY","",""
"PLX189640","","393503651002106716, 393503651002106723","17/11/2021 18:03 +11:00","PLX1896400020022213","Depot In","SYDNEY","",""
"PLX189832","","393503651002102183, 393503651002102176, 393503651002102190, 393503651002102206","17/11/2021 18:03 +11:00","PLX1898320030043342","Depot In","SYDNEY","",""
"PLX189832","","393503651002102183, 393503651002102176, 393503651002102190, 393503651002102206","17/11/2021 18:03 +11:00","PLX1898320040043342","Depot In","SYDNEY","",""
"PLX189640","","393503651002106716, 393503651002106723","17/11/2021 18:03 +11:00","PLX1896400010022213","Depot In","SYDNEY","",""
"PLX189817","","393503651002110522, 393503651002110584, 393503651002110560, 393503651002110607, 393503651002110553,","17/11/2021 18:03 +11:00","PLX1898170040096460","Depot In","SYDNEY","",""
"PLX189791","","393503651002102114, 393503651002102107","17/11/2021 18:04 +11:00","PLX1897910010022038","Depot In","SYDNEY","",""
"PLX189863","","393503651002102251","17/11/2021 18:03 +11:00","PLX1898630010014737","Depot In","SYDNEY","",""
"PLX189821","","393503651002102121","17/11/2021 18:04 +11:00","PLX1898210010012264","Depot In","SYDNEY","",""
"PLX189829","","393503651002102145","17/11/2021 18:04 +11:00","PLX1898290010013024","Depot In","SYDNEY","",""
"PLX189873","","393503651002106594","17/11/2021 18:04 +11:00","PLX1898730010015251","Depot In","SYDNEY","",""
"PLX189868","","393503651002106556","17/11/2021 18:04 +11:00","PLX1898680010012850","Depot In","SYDNEY","",""
"PLX189839","","393503651002102237","17/11/2021 18:04 +11:00","PLX1898390010012263","Depot In","SYDNEY","",""
"PLX189871","","393503651002106679, 393503651002106686","17/11/2021 18:04 +11:00","PLX1898710010022261","Depot In","SYDNEY","",""
"PLX189865","","393503651002102268","17/11/2021 18:04 +11:00","PLX1898650010012335","Depot In","SYDNEY","",""
